No,Bird Name,Scientific_Name,Category,Family,Habitat,Diet,Gujarat_Region,Conservation_state,Population_Estimate,Migration,Breeding_season,Height_cm,Weight_kg,Lifespan_Years,Speed_kmph,Activity,Threats,is_rare,special_feature,
AN001,Great Indian Bustard,Phoenicopterus roseus,Large Ground Birds,Otididae,Dry Grasslands & Open Plains,"Brine shrimp, blue-green algae, small insects","Kutch (Flamingo City), Nal Sarovar, Gulf of Khambhat",Least Concern,"~200,000 to 300,000",Local/Residency breeder & Winter Migrant,September to March,110–150,2.0–4.0,30–40,50–60,Diurnal & Nocturnal,"Industrial salt pan expansion, collision with power lines",Yes,"One of the heaviest flying birds in the world, weighing up to 15 kg.",
AN002,Greater Flamingo,Phoenicopterus roseus,Wading Bird,Phoenicopteridae,"Brackish lagoons, salt pans, saline lakes, and coastal mudflats","Omnivore; filters algae, brine shrimp, plant seeds, and small molluscs upside down"," Nal Sarovar Bird Sanctuary, Khijadia, Thol, Great Rann of Kutch.",Least Concern,"60,000+",Partial-migrant,September to January,110-150,2.0-4.0,20-30,50-60,Crepuscular / Nocturnal / Diurnal,"High-voltage power line collisions, pollution/sewage discharge in wetlands, and disturbance of breeding colonies",No,Filters food from the mud using its upside-down beak and unique tongue pump mechanism.,
AN003,Indian Skimmer,Rynchops albicollis,Shorebirds,Laridae,"Large rivers, coastal estuaries, sandy islands",Small surface-swimming fish,"Jamnagar coastal creeks, Chari-Dhandh",Endangered,Declining,Local migrant / Resident,February to May,40-43,0.230-0.250,10-Dec,40-45,Crepuscular / Nocturnal / Diurnal,"Sand mining on riverbeds, flood disturbances, plastic pollution",Yes,Flies low over the water surface with its longer lower mandible cutting through the water to scoop up fish.,
AN004,Stoliczka's Bushchat,Saxicola macrorhynchus,Passerines (Perching Birds),Muscicapidae,"Desert scrub, alkaline plains with sparse alkaline bushes","Small beetles, ants, insect larvae",Semi-desert plains of Kutch,Vulnerable,Declining,Resident / Local altitudinal mover,June to August,13–15,0.013-0.016,03-Apr,25,Diurnal,Invasive weed growth (Prosopis juliflora) taking over native open scrub,Yes,"Uses an upright perching posture to scan for ground insects in harsh, hyper-arid desert environments.",
AN005,Grey Hypocolius,Hypocolius ampelinus,Passerines (Perching Birds),Hypocoliidae,"Dry thorn scrub, Salvadora persica (Piludi) groves","Berries, figs, dates, occasional insects","Fulay Village, Banni Grasslands of Kutch",Least Concern,Stable,Winter migrant,May to July,23,0.048-0.055,04-May,35,Diurnal,Clearing of Salvadora scrubland patches,Yes,"Belongs to a monotypic family, meaning it is the only living bird species in its entire taxonomic family.",
AN006,Macqueen's Bustard,Chlamydotis macqueenii,Large Ground Birds,Otididae,"Semi-desert, stony arid plains with low scrub","Grains, seeds, berries, locusts, beetles",Desert expanses of Kutch,Vulnerable,Declining,Winter migrant,March to June,55-65,1.2-3.2,10-Dec,40,Diurnal,"Illegal poaching/hunting along migratory routes, habitat fragmentation",Yes,Performs an elaborate courtship display where it runs in lines while fluffing out long white feathers to cover its head.,
AN007,White-naped Tit,Machlolophus nuchalis,Passerines (Perching Birds),Paridae,"Endemic dry thorn-scrub patches, Acacia forests","Small insects, caterpillars, tree buds","Isolated pockets in Kutch (e.g., Khadir Bet)",Vulnerable,Declining,Resident,May to August,12,0.012-0.015,03-May,25,Diurnal,"Highly specialized habitat loss, firewood cutting of old Acacia trees",Yes,"Exhibits a striking, high-contrast black and white plumage pattern that makes it distinct from all other Asian tits.",
AN008,Painted Francolin,Francolinus pictus,Ground Birds,Phasianidae,"Tall grasslands, dry scrub, cultivated field margins","Seeds, grains, weed shoots, small insects","Saurashtra grasslands, Gir fringes",Least Concern,Stable,Resident,June to September,30-33,0.250-0.350,04-May,25,Diurnal,"Heavy overgrazing by cattle, hunting",No,"Produces a loud, metallic clicking call that can be heard from a great distance during the breeding season.",
AN009,Marshall's Iora,Aegithina marshalli,Passerines (Perching Birds),Aegithinidae,"Dry scrub forests, thorn jungles","Small insects, caterpillars, spiders","Saurashtra, dry zones of Northwest Gujarat",Least Concern,Stable,Resident,June to August,13-14,0.012-0.014,03-May,25,Diurnal,Destruction of dry scrub forests for agriculture,Yes,Displays a unique mid-air breeding ritual where males fluff out their white flank feathers like a powder puff.,
AN010,Sykes's Nightjar,Caprimulgus mahrattensis,Nightbirds,Caprimulgidae,"Stony semi-desert plains, clay wastes, dry scrub","Moths, beetles, flying insects",Little and Greater Rann of Kutch,Least Concern,Stable,Resident / Short-distance nomad,March to June,22–24,0.050-0.060,04-May,35,Nocturnal / Crepuscular,Vehicles hitting them at night on desert roads,No,"Perfect camouflage that blends seamlessly into rocky desert floors, remaining completely invisible while sleeping during the day.",
